#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2014 04 12 15 00 120  4.0  6.0   1.6    10    MM  MM 1015.2   1.8   0.8    MM   MM -2.4    MM
2014 04 12 14 00   0  1.0  3.0   1.6    10    MM  MM 1016.7   1.9   0.8    MM   MM -0.7    MM
2014 04 12 13 00 150  3.0  4.0   1.7    10    MM  MM 1017.0   1.5   0.9    MM   MM -0.2    MM
2014 04 12 12 00 360  2.0  3.0   1.8     8    MM  MM 1017.6   2.0   0.8    MM   MM +0.4    MM
2014 04 12 11 00  70  1.0  2.0   1.8     8    MM  MM 1017.4   2.2   0.8    MM   MM -0.2    MM
2014 04 12 10 00 130  0.0  0.0   1.7     8    MM  MM 1017.2   2.0   0.8    MM   MM -0.2    MM
2014 04 12 09 00 190  3.0  4.0   1.8     8    MM  MM 1017.2   1.6   1.1    MM   MM -0.2    MM
2014 04 12 08 00 210  2.0  3.0   1.8     8    MM  MM 1017.6   1.6   1.0    MM   MM -0.4    MM
2014 04 12 07 00 190  2.0  4.0   1.9     8    MM  MM 1017.4   1.4   1.1    MM   MM -0.8    MM
2014 04 12 06 00 200  2.0  3.0   2.1     8    MM  MM 1017.4   2.3   1.1    MM   MM -0.5    MM
2014 04 12 05 00 220  2.0  3.0   1.8     8    MM  MM 1018.0   2.2   1.1    MM   MM +0.6    MM
2014 04 12 04 00 250  0.0  2.0   2.0     8    MM  MM 1018.2   2.5   1.1    MM   MM +1.2    MM
2014 04 12 03 00 250  5.0  6.0   2.0     8    MM  MM 1017.9   2.5   1.0    MM   MM +1.2    MM
2014 04 12 02 00 250  5.0  6.0   2.1     8    MM  MM 1017.4   2.2   0.9    MM   MM +1.2    MM
2014 04 12 01 00 240  5.0  6.0   1.9     8    MM  MM 1017.0   2.3   0.9    MM   MM +1.8    MM
2014 04 12 00 00 220  4.0  6.0   2.1     8    MM  MM 1016.7   2.3   0.9    MM   MM +2.5    MM
2014 04 11 23 00 280  4.0  4.0   2.0     7    MM  MM 1016.2   2.6   0.9    MM   MM +2.1    MM
2014 04 11 22 00 270  5.0  7.0   2.0     7    MM  MM 1015.2   3.2   0.9    MM   MM +1.0    MM
2014 04 11 21 00 230  9.0 10.0   2.2     7    MM  MM 1014.2   4.2   0.9    MM   MM -0.9    MM
2014 04 11 20 00 230  8.0  9.0   2.1     7    MM  MM 1014.1   4.6   1.0    MM   MM -1.5    MM
2014 04 11 19 00 230  9.0 11.0   2.1     6    MM  MM 1014.2   4.9   1.1    MM   MM -2.9    MM
2014 04 11 18 00 230  9.0 10.0   2.1    11    MM  MM 1015.1   4.8   1.2    MM   MM -2.8    MM
2014 04 11 17 00 220  8.0 10.0   1.8     6    MM  MM 1015.6   4.5   1.2    MM   MM -2.9    MM
2014 04 11 16 00 230  2.0  4.0   1.7     6    MM  MM 1017.1   3.6   1.2    MM   MM -1.3    MM
2014 04 11 15 00 210  3.0  5.0   1.6     6    MM  MM 1017.9   3.3   1.1    MM   MM -0.5    MM
2014 04 11 14 00 240  5.0  6.0   1.7    10    MM  MM 1018.5   3.2   1.0    MM   MM +0.5    MM
2014 04 11 13 00 250  6.0  7.0   1.7    10    MM  MM 1018.4   4.0   1.0    MM   MM -0.1    MM
2014 04 11 12 00 240  6.0  8.0   1.8    11    MM  MM 1018.4   3.5   1.0    MM   MM -0.2    MM
2014 04 11 11 00 210  8.0 10.0   1.8    10    MM  MM 1018.0   3.4   1.1    MM   MM -1.1    MM
2014 04 11 10 00 220  9.0 10.0   1.9    11    MM  MM 1018.5   3.0   1.2    MM   MM -0.9    MM
2014 04 11 09 00 230 10.0 12.0   1.9    11    MM  MM 1018.6   3.0   1.2    MM   MM -1.2    MM
2014 04 11 08 00 240  9.0 11.0   1.9    11    MM  MM 1019.1   2.8   1.3    MM   MM -1.3    MM
2014 04 11 07 00 240  8.0 10.0   1.9    11    MM  MM 1019.4   2.4   1.3    MM   MM -1.7    MM
2014 04 11 06 00 230  9.0 11.0   1.9    10    MM  MM 1019.8   2.4   1.4    MM   MM -1.2    MM
2014 04 11 05 00 230  8.0 11.0   1.8    11    MM  MM 1020.4   2.2   1.4    MM   MM -0.6    MM
2014 04 11 04 00 230  8.0 10.0   1.9    12    MM  MM 1021.1   2.0   1.4    MM   MM +0.6    MM
2014 04 11 03 00 230  8.0 11.0   2.0    12    MM  MM 1021.0   1.9   1.4    MM   MM +0.8    MM
2014 04 11 02 00 230  7.0  9.0   2.3    11    MM  MM 1021.0   1.8   1.0    MM   MM +1.2    MM
2014 04 11 01 00 240  9.0 12.0   2.2    12    MM  MM 1020.5   2.1   1.1    MM   MM +1.1    MM
2014 04 11 00 00 250 10.0 12.0   2.1    11    MM  MM 1020.2   2.3   1.1    MM   MM +0.5    MM
2014 04 10 23 00 250  8.0 10.0   2.0    12    MM  MM 1019.8   2.2   1.1    MM   MM +0.2    MM
